INCIDENT NUMBER,EXPOSURE NUMBER,DISPATCH DATE,DISPATCH TIME,INCIDENT TYPE,INCIDENT DESCRIPTION,STREET NUMBER,STREET PREFIX,STREET NAME,STREET TYPE,STREET SUFFIX,FORMATTED STREET,CITY,STATE,ZIP,APARTMENT,CROSS STREET PREFIX,CROSS STREET NAME,CROSS STREET TYPE,CROSS STREET SUFFIX,RURAL,PROPERTY LOSS,CONTENTS LOSS,FIRE SERVICE FATALITY,FIRE SERVICE INJURY,CIVILIAN FATALITY,CIVILIAN INJURY,PROPERTY VALUE,CONTENTS VALUE,ALARMS,SUPPRESSION APPARATUS,SUPPRESSION PERSONNEL,EMS APPARATUS,EMS PERSONNEL,RESCUE APPARATUS,RESCUE PERSONNEL,OTHER APPARATUS,OTHER PERSONNEL,CONTROL DATE,CONTROL TIME,CLEAR DATE,CLEAR TIME,CAUSE OF IGNITION,CAUSE OF IGNITION DESCRIPTION ,GEOLOCATION
15-0002661,0,01/31/2015,11:45:16,321,"EMS call, excluding vehicle accident with injury",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,12:11:39,,,
16-0008057,0,04/04/2016,17:29:35,322,Motor vehicle accident with injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,,,04/04/2016,17:56:58,,,
15-0002658,0,01/31/2015,10:26:04,320,"Emergency medical service, other",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,10:36:51,,,
16-0007800,0,04/01/2016,16:39:52,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,16:54:23,,,
15-0002654,0,01/31/2015,09:22:18,300,"Rescue, EMS incident, other",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,,,01/31/2015,09:35:33,,,
15-0002653,0,01/31/2015,08:54:09,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,09:27:59,,,
15-0002650,0,01/31/2015,08:40:46,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,09:02:09,,,
15-0002649,0,01/31/2015,08:38:29,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,08:50:31,,,
15-0002648,0,01/31/2015,08:21:12,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,08:31:35,,,
15-0002647,0,01/31/2015,08:11:27,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,08:25:52,,,
15-0002646,0,01/31/2015,08:02:23,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,08:17:57,,,
15-0002645,0,01/31/2015,08:01:59,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,08:17:54,,,
15-0002644,0,01/31/2015,07:31:11,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,07:43:49,,,
15-0002643,0,01/31/2015,06:54:13,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,07:07:45,,,
15-0002618,0,01/30/2015,23:43:48,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,23:56:56,,,
16-0007821,0,04/01/2016,22:27:03,320,"Emergency medical service, other",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,22:43:19,,,
16-0008073,0,04/04/2016,21:58:27,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,22:37:42,,,
16-0008085,0,04/05/2016,00:40:02,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,04/05/2016,00:52:45,,,
15-0002640,0,01/31/2015,06:08:29,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,,,01/31/2015,06:23:26,,,
15-0002639,0,01/31/2015,05:26:56,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,,,01/31/2015,05:40:14,,,
15-0002638,0,01/31/2015,05:02:47,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,05:22:42,,,
15-0002637,0,01/31/2015,04:35:26,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,,,01/31/2015,04:53:08,,,
15-0002636,0,01/31/2015,04:20:19,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,04:42:31,,,
15-0002635,0,01/31/2015,04:15:10,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,04:44:32,,,
15-0002634,0,01/31/2015,04:13:12,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,04:30:07,,,
16-0007769,0,04/01/2016,09:25:53,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,,,04/01/2016,09:43:33,,,
15-0002632,0,01/31/2015,03:36:54,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,04:15:26,,,
16-0007792,0,04/01/2016,15:53:03,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,,,04/01/2016,16:04:25,,,
15-0002631,0,01/31/2015,03:05:44,321,"EMS call, excluding vehicle accident with injury",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,01/31/2015,03:16:32,,,
15-0002629,0,01/31/2015,01:51:55,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,02:02:39,,,
16-0007815,0,04/01/2016,20:24:18,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,20:40:35,,,
15-0002627,0,01/31/2015,01:31:43,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,01:46:02,,,
15-0002626,0,01/31/2015,01:08:10,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,,,01/31/2015,01:34:27,,,
16-0008033,0,04/04/2016,13:06:47,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,13:23:43,,,
16-0007790,0,04/01/2016,15:29:34,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,15:56:50,,,
16-0007836,0,04/02/2016,03:02:12,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/02/2016,03:14:31,,,
15-0002621,0,01/31/2015,00:35:32,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/31/2015,01:02:30,,,
16-0007785,0,04/01/2016,14:28:03,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,,,04/01/2016,14:37:53,,,
16-0007834,0,04/02/2016,00:00:00,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/02/2016,02:05:00,,,
16-0008048,0,04/04/2016,15:36:06,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,15:52:14,,,
16-0007761,0,04/01/2016,07:50:07,331,"Lock-in (if lock out , use 511 )",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,,,04/01/2016,08:09:37,,,
16-0008086,0,04/05/2016,01:06:59,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,04/05/2016,01:27:01,,,
16-0007778,0,04/01/2016,12:14:53,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,12:35:06,,,
16-0007989,0,04/04/2016,03:54:09,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,04:08:23,,,
16-0008040,0,04/04/2016,14:53:53,745,"Alarm system activation, no fire - unintentional",222,,ST LOUIS,ST,,222  ST LOUIS ST,BATON ROUGE,LA,70802,B1,,,,,,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,,,04/04/2016,14:58:27,,,"222 ST LOUIS ST
BATON ROUGE, LA 70802
(30.446375, -91.187618)"
15-0002617,0,01/30/2015,22:38:09,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,22:50:47,,,
16-0008041,0,04/04/2016,15:01:24,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,15:18:39,,,
15-0002612,0,01/30/2015,21:32:04,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,,,01/30/2015,21:53:44,,,
16-0007726,0,03/31/2016,20:15:24,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,03/31/2016,20:21:43,,,
15-0002610,0,01/30/2015,20:56:23,322,Motor vehicle accident with injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,,,01/30/2015,21:20:35,,,
16-0008087,0,04/05/2016,01:23:24,611,Dispatched & cancelled en route,1176,,BOB PETTIT,BLVD,,1176  BOB PETTIT BLVD,BATON ROUGE,LA,70820,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,04/05/2016,01:32:04,,,"1176 BOB PETTIT BLVD
BATON ROUGE, LA 70820
(30.396307, -91.179032)"
16-0008032,0,04/04/2016,13:04:13,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,13:14:14,,,
15-0002607,0,01/30/2015,20:47:33,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,21:04:26,,,
15-0002606,0,01/30/2015,20:44:42,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,20:53:29,,,
15-0002605,0,01/30/2015,20:35:01,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,20:49:55,,,
16-0008064,0,04/04/2016,18:22:59,611,Dispatched & cancelled en route,300,,EAST I-10,HWY,,300  EAST I-10 HWY,BATON ROUGE,LA,70801,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,04/04/2016,18:25:05,,,"300 EAST I-10 HWY
BATON ROUGE, LA 70801
"
15-0002603,0,01/30/2015,19:46:31,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,20:02:00,,,
15-0002601,0,01/30/2015,19:19:12,320,"Emergency medical service, other",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,01/30/2015,19:32:57,,,
16-0007781,0,04/01/2016,13:15:05,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,13:38:38,,,
15-0002598,0,01/30/2015,18:55:36,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,,,01/30/2015,19:16:12,,,
15-0002595,0,01/30/2015,18:26:22,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,18:54:59,,,
15-0002594,0,01/30/2015,18:24:04,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,18:46:40,,,
16-0007802,0,04/01/2016,16:43:08,322,Motor vehicle accident with injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,,,04/01/2016,17:05:57,,,
15-0002591,0,01/30/2015,18:05:12,320,"Emergency medical service, other",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,18:22:05,,,
15-0002590,0,01/30/2015,17:58:06,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,18:08:49,,,
16-0008075,0,04/04/2016,22:12:18,321,"EMS call, excluding vehicle accident with injury",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,22:44:24,,,
15-0002588,0,01/30/2015,17:41:41,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,01/30/2015,17:55:15,,,
16-0008045,0,04/04/2016,15:16:41,611,Dispatched & cancelled en route,3810,,NORTH,BLVD,,3810  NORTH BLVD,BATON ROUGE,LA,70802,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,15:19:13,,,"3810 NORTH BLVD
BATON ROUGE, LA 70802
(30.448347, -91.150658)"
16-0007059,0,03/24/2016,10:30:17,611,Dispatched & cancelled en route,2287,,MASON,AVE,,2287  MASON AVE,BATON ROUGE,LA,70805,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,,,03/24/2016,10:34:23,,,"2287 MASON AVE
BATON ROUGE, LA 70805
(30.507102, -91.168323)"
16-0008014,0,04/04/2016,10:09:06,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,10:33:16,,,
15-0002587,0,01/30/2015,17:40:01,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,17:57:19,,,
16-0008053,0,04/04/2016,16:32:35,511,Lock-out,3420,,DALRYMPLE,DR,,3420  DALRYMPLE DR,BATON ROUGE,LA,70802,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,,,04/04/2016,16:41:56,,,"3420 DALRYMPLE DR
BATON ROUGE, LA 70802
(30.417322, -91.1717)"
15-0002584,0,01/30/2015,17:12:12,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,17:36:06,,,
15-0002582,0,01/30/2015,17:01:10,300,"Rescue, EMS incident, other",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,17:15:05,,,
16-0007830,0,04/02/2016,00:25:15,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/02/2016,00:41:40,,,
16-0007818,0,04/01/2016,21:27:21,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,21:39:22,,,
15-0002580,0,01/30/2015,16:26:28,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,16:43:50,,,
15-0002579,0,01/30/2015,16:19:33,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,16:51:49,,,
16-0007813,0,04/01/2016,19:49:02,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,19:58:49,,,
15-0002577,0,01/30/2015,15:52:47,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,,,01/30/2015,16:06:58,,,
16-0007803,0,04/01/2016,17:40:15,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,17:56:09,,,
15-0002575,0,01/30/2015,15:13:04,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,01/30/2015,15:27:49,,,
15-0002574,0,01/30/2015,15:11:28,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,15:30:01,,,
16-0007988,0,04/04/2016,03:15:17,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,03:31:51,,,
16-0008012,0,04/04/2016,10:00:25,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,10:24:10,,,
16-0007825,0,04/01/2016,23:07:07,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,,,04/01/2016,23:34:42,,,
15-0002568,0,01/30/2015,14:26:33,320,"Emergency medical service, other",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,,,01/30/2015,14:56:39,,,
16-0007770,0,04/01/2016,09:32:20,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,,,04/01/2016,09:54:42,,,
15-0002565,0,01/30/2015,13:49:15,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,14:04:54,,,
16-0007755,0,04/01/2016,05:03:20,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,05:11:51,,,
15-0002561,0,01/30/2015,13:26:40,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,13:46:20,,,
16-0007998,0,04/04/2016,07:44:59,600,"Good intent call, Other",1554,,CURTIS,ST,,1554  CURTIS ST,BATON ROUGE,LA,70807,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,04/04/2016,08:18:02,,,"1554 CURTIS ST
BATON ROUGE, LA 70807
(30.52138, -91.177128)"
16-0007777,0,04/01/2016,00:00:00,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,12:15:48,,,
16-0007789,0,04/01/2016,00:00:00,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,15:48:17,,,
16-0007831,0,04/02/2016,00:27:12,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/02/2016,00:43:58,,,
16-0008063,0,04/04/2016,18:07:46,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,18:33:55,,,
15-0002560,0,01/30/2015,13:25:43,320,"Emergency medical service, other",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,13:41:02,,,
16-0007829,0,04/02/2016,00:15:50,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/02/2016,00:29:43,,,
16-0008072,0,04/04/2016,21:48:11,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,,,04/04/2016,22:04:11,,,
15-0002557,0,01/30/2015,12:48:52,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,13:09:23,,,
15-0002556,0,01/30/2015,12:43:30,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,,,01/30/2015,13:08:36,,,
15-0002555,0,01/30/2015,12:38:57,320,"Emergency medical service, other",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,12:55:27,,,
15-0002554,0,01/30/2015,12:33:45,331,"Lock-in (if lock out , use 511 )",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,,,01/30/2015,12:48:43,,,
15-0002553,0,01/30/2015,12:16:00,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,12:26:08,,,
16-0008011,0,04/04/2016,09:40:14,745,"Alarm system activation, no fire - unintentional",655,,AUDUBON,AVE,,655  AUDUBON AVE,BATON ROUGE,LA,70806,,,,,,,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,,,04/04/2016,09:46:53,,,"655 AUDUBON AVE
BATON ROUGE, LA 70806
(30.443494, -91.120261)"
16-0007816,0,04/01/2016,20:37:22,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,21:15:10,,,
16-0007806,0,04/01/2016,17:55:16,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,18:25:53,,,
16-0008047,0,04/04/2016,15:24:39,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,,,04/04/2016,15:50:52,,,
